Term,UnitsTypeCV,UnitsAbbreviation,UnitsName,UnitsLink
footPoundForcePerMinute,Power,ft-lbf/min,Foot Pound Force per Minute,http://qudt.org/vocab/unit#FootPoundForcePerMinute
footPoundForcePerSecond,Power,ft-lbf/s,Foot Pound Force per Second,http://qudt.org/vocab/unit#FootPoundForcePerSecond
gigawatt,Power,GW,Gigawatt,
horsepower,Power,HP,Horsepower,http://qudt.org/vocab/unit#Horsepower; http://unitsofmeasure.org/ucum.html#para-43; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
"horsepower,Boiler",Power,hp/boiler,"Horsepower, Boiler",http://qudt.org/vocab/unit#HorsepowerBoiler; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
"horsepower,British",Power,,"Horsepower, British",http://www.unidata.ucar.edu/software/udunits/
"horsepower,Electric",Power,hp/V,"Horsepower, Electric",http://qudt.org/vocab/unit#HorsepowerElectric; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
"horsepower,Imperial",Power,HP,"Horsepower, Imperial",http://unitsofmeasure.org/ucum.html#para-43
"horsepower,Metric",Power,hp/m,"Horsepower, Metric",http://qudt.org/vocab/unit#HorsepowerMetric; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
"horsepower,Water",Power,hp/H2O,"Horsepower, Water",http://qudt.org/vocab/unit#HorsepowerWater; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
kilocaloriePerMinute,Power,kcal/min,Kilocalorie per Minute,http://qudt.org/vocab/unit#KilocaloriePerMinute
kilocaloriePerSecond,Power,kcal/s,Kilocalorie per Second,http://qudt.org/vocab/unit#KilocaloriePerSecond
kilovolt-Ampere,Power,kVA,Kilovolt-ampere,
kilowatt,Power,kW,Kilowatt,http://qudt.org/vocab/unit#Kilowatt; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
megavolt-Ampere,Power,MVA,Megavolt-ampere,
megawatt,Power,MW,Megawatt,
planckPower,Power,,Planck Power,http://qudt.org/vocab/unit#PlanckPower
tonOfRefrigeration,Power,t/fg,Ton of Refrigeration,http://qudt.org/vocab/unit#TonOfRefrigeration; http://www.unidata.ucar.edu/software/udunits/
volt-Ampere,Power,VA,Volt-ampere,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://www.unidata.ucar.edu/software/udunits/
watt,Power,W,Watt,http://qudt.org/vocab/unit#Watt; http://unitsofmeasure.org/ucum.html#para-30;http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://www.unidata.ucar.edu/software/udunits/
wattSquareMeter,Power area,W m^2,Watt Square Meter,http://qudt.org/vocab/unit#WattSquareMeter
wattSquareMeterPerSteradian,Power area per solid angle,W m^2 sr^-1,Watt Square Meter per Steradian,http://qudt.org/vocab/unit#WattSquareMeterPerSteradian
btuPerHourSquareFoot,Power per area,,Btu per Hour Square Foot,http://qudt.org/vocab/unit#BtuPerHourSquareFoot
btuPerSecondSquareFoot,Power per area,Btu/(s-ft^2),Btu per Second Square Foot,http://qudt.org/vocab/unit#BtuPerSecondSquareFoot
caloriePerSquareCentimeterPerDay,Power per area,cal/cm^2 d,Calorie per Square Centimeter per Day,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
caloriePerSquareCentimeterPerMinute,Power per area,cal/cm^2 min,Calorie per Square Centimeter per Minute,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
ergPerSquareCentimeterSecond,Power per area,erg/(cm^2-s),Erg per Square Centimeter Second,http://qudt.org/vocab/unit#ErgPerSquareCentimeterSecond
footPoundForcePerSquareFootSecond,Power per area,ft-lbf(ft^2-s),Foot Pound Force per Square Foot Second,http://qudt.org/vocab/unit#FootPoundForcePerSquareFootSecond
kilocaloriePerSquareCentimeterMinute,Power per area,kcal/(cm^2-min),Kilocalorie per Square Centimeter Minute,http://qudt.org/vocab/unit#KilocaloriePerSquareCentimeterMinute
kilocaloriePerSquareCentimeterSecond,Power per area,kcal/(cm^2-s),Kilocalorie per Square Centimeter Second,http://qudt.org/vocab/unit#KilocaloriePerSquareCentimeterSecond
kilowattPerSquareMeter,Power per area,kW/m^2,Kilowatt per Square Meter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
langleyPerDay,Power per area,Ly/d,Langley per Day,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
langleyPerHour,Power per area,Ly/hr,Langley per Hour,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
langleyPerMinute,Power per area,Ly/min,Langley per Minute,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
langleyPerSecond,Power per area,Ly/s,Langley per Second,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
megajoulePerSquareMeterPerDay,Power per area,MJ/m^2 d,Megajoule per Square Meter per Day,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
planckIntensity,Power per area,,Planck Intensity,
wattPerSquareCentimeter,Power per area,W/cm^2,Watt per Square Centimeter,http://qudt.org/vocab/unit#WattPerSquareCentimeter; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
wattPerSquareFoot,Power per area,W/ft^2,Watt per Square Foot,http://qudt.org/vocab/unit#WattPerSquareFoot
wattPerSquareInch,Power per area,W/in^2,Watt per Square Inch,http://qudt.org/vocab/unit#WattPerSquareInch
wattPerSquareMeter,Power per area,W/m^2,Watt per Square Meter,http://qudt.org/vocab/unit#WattPerSquareMeter; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
wattPerSquareMeterQuarticKelvin,Power per area quartic temperature,W m^-2 K^-4,Watt per Square Meter Quartic Kelvin,http://qudt.org/vocab/unit#WattPerSquareMeterQuarticKelvin
voltPerSecond,Power per electrical charge,V / sec,Volt per Second,http://qudt.org/vocab/unit#VoltPerSecond
atmosphere,Pressure or stress,,Atmosphere,http://www.unidata.ucar.edu/software/udunits/
bar,Pressure or stress,bar,Bar,http://qudt.org/vocab/unit#Bar
barie,Pressure or stress,barie,Barie,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
centimeterOfMercury,Pressure or stress,cm Hg,Centimeter of Mercury,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
centimeterOfWater,Pressure or stress,cmH2O,Centimeter of Water,http://qudt.org/vocab/unit#CentimeterOfWater; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
decibar,Pressure or stress,dbar,Decibar,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
dynePerSquareCentimeter,Pressure or stress,dyn/cm^2,Dyne per Square Centimeter,http://qudt.org/vocab/unit#DynePerSquareCentimeter
footOfWater,Pressure or stress,ftH2O,Foot of Water,http://qudt.org/vocab/unit#FootOfWater; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
hectopascal,Pressure or stress,hPa,Hectopascal,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
inchOfMercury,Pressure or stress,in_i'Hg,Inch of Mercury,http://qudt.org/vocab/unit#InchOfMercury; http://unitsofmeasure.org/ucum.html#para-44; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml; http://qwwebservices.usgs.gov/service-domains.html
inchOfMercury(60F),Pressure or stress,,Inch of Mercury (60F),https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
inchOfWater,Pressure or stress,in_i'H2O,Inch of Water,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://unitsofmeasure.org/ucum.html#para-44; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml; http://qwwebservices.usgs.gov/service-domains.html
inchOfWater(60F),Pressure or stress,,Inch of Water (60F),https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
kilogramForcePerSquareCentimeter,Pressure or stress,kgf/cm^2,Kilogram Force per Square Centimeter,http://qudt.org/vocab/unit#KilogramForcePerSquareCentimeter
kilopascal,Pressure or stress,KPa,Kilopascal,http://qudt.org/vocab/unit#KiloPascal; http://qudt.org/vocab/unit#KiloPascalAbsolute; http://qwwebservices.usgs.gov/service-domains.html
kipPerSquareInch,Pressure or stress,kip/in^2,Kip per Square Inch,http://qudt.org/vocab/unit#KipPerSquareInch
ksi,Pressure or stress,,ksi,http://www.unidata.ucar.edu/software/udunits/
megapascal,Pressure or stress,MPa,Megapascal,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
meterOfMercury,Pressure or stress,mHg,Meter of Mercury,http://unitsofmeasure.org/ucum.html#para-44
meterOfWater,Pressure or stress,m H2O; mH2O,Meter of Water,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://unitsofmeasure.org/ucum.html#para-44
microtorr,Pressure or stress,µtorr,Microtorr,http://qudt.org/vocab/unit#MicroTorr
millibar,Pressure or stress,mbar,Millibar,http://qudt.org/vocab/unit#Millibar; http://qwwebservices.usgs.gov/service-domains.html
millimeterOfMercury,Pressure or stress,mmHg,Millimeter of Mercury,http://qudt.org/vocab/unit#MillimeterOfMercury; http://qudt.org/vocab/unit#MillimeterOfMercuryAbsolute; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml; http://qwwebservices.usgs.gov/service-domains.html
millimeterOfWater,Pressure or stress,mm H2O,Millimeter of Water,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
millitorr,Pressure or stress,utorr,Millitorr,http://qudt.org/vocab/unit#MilliTorr
newtonPerSquareMeter,Pressure or stress,Newton/m^2,Newton per Square Meter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
pascal,Pressure or stress,Pa,Pascal,http://qudt.org/vocab/unit#Pascal; http://unitsofmeasure.org/ucum.html#para-30; http://www.unidata.ucar.edu/software/udunits/
planckPressure,Pressure or stress,,Planck Pressure,http://qudt.org/vocab/unit#PlanckPressure
poundalPerSquareFoot,Pressure or stress,pdl/ft^2,Poundal per Square Foot,http://qudt.org/vocab/unit#PoundalPerSquareFoot
poundForcePerSquareFoot,Pressure or stress,lbf/ft^2,Pound Force per Square Foot,http://qudt.org/vocab/unit#PoundForcePerSquareFoot
poundForcePerSquareInch,Pressure or stress,psi,Pound Force per Square Inch,http://qudt.org/vocab/unit#PoundForcePerSquareInch; http://unitsofmeasure.org/ucum.html#para-47
psi,Pressure or stress,psi,psi,http://www.unidata.ucar.edu/software/udunits/
standardAtmosphere,Pressure or stress,atm,Standard Atmosphere,http://qudt.org/vocab/unit#AtmosphereStandard; http://unitsofmeasure.org/ucum.html#para-32
technicalAtmosphere,Pressure or stress,at,Technical Atmosphere,http://qudt.org/vocab/unit#AtmosphereTechnical; http://unitsofmeasure.org/ucum.html#para-47; http://www.unidata.ucar.edu/software/udunits/
torr,Pressure or stress,torr,Torr,http://qudt.org/vocab/unit#Torr; http://www.unidata.ucar.edu/software/udunits/
pascalPerHour,Pressure or stress rate,P / hr,Pascal per Hour,http://qudt.org/vocab/unit#PascalPerHour
pascalPerMinute,Pressure or stress rate,P / min,Pascal per Minute,http://qudt.org/vocab/unit#PascalPerMinute
pascalPerSecond,Pressure or stress rate,P / s,Pascal per Second,http://qudt.org/vocab/unit#PascalPerSecond
poundForcePerSquareInchSecond,Pressure or stress rate,lbf / in^2-s,Pound Force per Square Inch Second,http://qudt.org/vocab/unit#PoundForcePerSquareInchSecond
quarticCoulombMeterPerCubicEnergy,Quartic electrical dipole moment per cubic energy,C^4 m^4 J^-3,Quartic Coulomb Meter per Cubic Energy,http://qudt.org/vocab/unit#QuarticCoulombMeterPerCubicEnergy
wattPerSquareMeterSteradian,Radiance,W/(m^2-sr),Watt per Square Meter Steradian,http://qudt.org/vocab/unit#WattPerSquareMeterSteradian
wattPerSteradian,Radiant intensity,W sr^-1,Watt per Steradian,http://qudt.org/vocab/unit#WattPerSteradian
becquerel,Radioactivity,Bq,Becquerel,http://qudt.org/vocab/unit#Becquerel
curie,Radioactivity,Ci,Curie,http://qudt.org/vocab/unit#Curie
picocurie,Radioactivity,pCi,Picocurie,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
becquerelPerLiter,Radioactivity per volume,Bq/L,Becquerel per Liter,http://environment.data.gov.au/def/unit/BecquerelPerLitre
disintegrationPerMinutePerLiter,Radioactivity per volume,dpm/l,Disintegration per Minute per Liter,http://qwwebservices.usgs.gov/service-domains.html
millibecquerelPerLiter,Radioactivity per volume,mBq/L,Millibecquerel per Liter,http://environment.data.gov.au/def/unit/MilliBecquerelPerLitre
picocuriePerLiter,Radioactivity per volume,pCi/L,Picocurie per Liter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
picocuriePerMilliliter,Radioactivity per volume,pCi/ml,Picocurie per Milliliter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
practicalSalinityScale,Salinity,pss,Practical Salinity Scale,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
practicalSalinityUnit,Salinity,PSU,Practical Salinity Unit,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://environment.data.gov.au/def/unit/PSU
meterPerPixel,Satellite resolution,meters per pixel,Meter per Pixel,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
meterPerQuarticSecond,Snap,m/s^4,Meter per Quartic Second,
fractionalArea,Solid angle,fa,Fractional Area,http://qudt.org/vocab/unit#FractionalArea
sphere,Solid angle,sph,Sphere,http://unitsofmeasure.org/ucum.html#para-47
squareDegree,Solid angle,deg^2,Square Degree,http://qudt.org/vocab/unit#SquareDegree
steradian,Solid angle,sr,Steradian,http://qudt.org/vocab/unit#Steradian; http://unitsofmeasure.org/ucum.html#para-30; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://www.unidata.ucar.edu/software/udunits/
btuPerPound,Specific energy,Btu/lb,Btu per Pound,http://qudt.org/vocab/unit#BtuPerPound
ergPerGram,Specific energy,,Erg per Gram,http://qudt.org/vocab/unit#ErgPerGram
geopotential,Specific energy,,Geopotential,http://www.unidata.ucar.edu/software/udunits/
joulePerKilogram,Specific energy,J/kg,Joule per Kilogram,http://qudt.org/vocab/unit#JoulePerKilogram
kilocaloriePerGram,Specific energy,kcal/gm,Kilocalorie per Gram,http://qudt.org/vocab/unit#KilocaloriePerGram
meterSquaredPerSecondSquared,Specific energy,m^2/s^2,Meter Squared per Second Squared,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
btuPerPoundDegreeFahrenheit,Specific heat capacity,Btu/(lb-degF),Btu per Pound Degree Fahrenheit,http://qudt.org/vocab/unit#BtuPerPoundDegreeFahrenheit
btuPerPoundDegreeRankine,Specific heat capacity,Btu/(lb-degR),Btu per Pound Degree Rankine,http://qudt.org/vocab/unit#BtuPerPoundDegreeRankine
caloriePerGramDegreeCelsius,Specific heat capacity,kcal/(gm-degC),Calorie per Gram Degree Celsius,http://qudt.org/vocab/unit#KilocaloriePerGramDegreeCelsius
joulePerKilogramKelvin,Specific heat capacity,J/(kg-K),Joule per Kilogram Kelvin,http://qudt.org/vocab/unit#JoulePerKilogramKelvin
joulePerKilogramKelvinPerPascal,Specific heat pressure,,Joule per Kilogram Kelvin per Pascal,http://qudt.org/vocab/unit#JoulePerKilogramKelvinPerPascal
joulePerKilogramKelvinPerCubicMeter,Specific heat volume,,Joule per Kilogram Kelvin per Cubic Meter,http://qudt.org/vocab/unit#JoulePerKilogramKelvinPerCubicMeter
becquerelPerGram,Specific radioactivity,Bq/g,Becquerel per Gram,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
disintegrationPerMinutePerGram,Specific radioactivity,dpm/g,Disintegration per Minute per Gram,http://qwwebservices.usgs.gov/service-domains.html
picocuriePerGram,Specific radioactivity,pCi/g,Picocurie per Gram,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
squareMeterPerGram,Specific surface area,m^2/g,Square Meter per Gram,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
cubicCentimeterPerGram,Specific volume,cm^3/g,Cubic Centimeter per Gram,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
cubicMeterPerKilogram,Specific volume,m^3/kg,Cubic Meter per Kilogram,http://qudt.org/vocab/unit#CubicMeterPerKilogram
milliliterPerGram,Specific volume,ml/g,Milliliter per Gram,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
perMilVersusPeeDeeBelemnite,Stable isotope delta,‰PDB,Per Mil versus Pee Dee Belemnite,
perMilVersusStandardMeanOceanWater,Stable isotope delta,‰SMOW,Per Mil versus Standard Mean Ocean Water,
perMilVersusviennaCanyonDiabloTroilite,Stable isotope delta,‰VCDT,Per Mil versusVienna Canyon Diablo Troilite,
perMilVersusViennaPeeDeeBelemnite,Stable isotope delta,‰VPDB,Per Mil versus Vienna Pee Dee Belemnite,
perMilVersusViennaStandardMeanOceanWater,Stable isotope delta,‰VSMOW,Per Mil versus Vienna Standard Mean Ocean Water,
perTrillionVersusPeeDeeBelemnite,Stable isotope delta,pptPDB,Per Trillion versus Pee Dee Belemnite,http://environment.data.gov.au/def/unit/PerTrillion_PDB
perTrillionVersusStandardMeanOceanWater,Stable isotope delta,pptSMOW,Per Trillion versus Standard Mean Ocean Water,http://environment.data.gov.au/def/unit/PerTrillion_SMOW
cubicKilometerPerSecondSquared,Standard gravitational parameter,km^3/s^2,Cubic Kilometer per Second Squared,http://qudt.org/vocab/unit#CubicKilometerPerSecondSquared
cubicMeterPerSecondSquared,Standard gravitational parameter,m^3/s^2,Cubic Meter per Second Squared,http://qudt.org/vocab/unit#CubicMeterPerSecondSquared
degreeCelsius,Temperature,degC; Cel,Degree Celsius,http://qudt.org/vocab/unit#DegreeCelsius; http://unitsofmeasure.org/ucum.html#para-30; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
degreeCentigrade,Temperature,DegC,Degree Centigrade,http://qudt.org/vocab/unit#DegreeCentigrade
degreeFahrenheit,Temperature,degF,Degree Fahrenheit,http://qudt.org/vocab/unit#DegreeFahrenheit; http://unitsofmeasure.org/ucum.html#para-43; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
degreeRankine,Temperature,degR,Degree Rankine,http://qudt.org/vocab/unit#DegreeRankine
kelvin,Temperature,K,Kelvin,http://qudt.org/vocab/unit#Kelvin; http://unitsofmeasure.org/ucum.html#para-28; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-base.xml
planckTemperature,Temperature,,Planck Temperature,http://qudt.org/vocab/unit#PlanckTemperature
moleDegreeCelsius,Temperature count,mol-degC,Mole Degree Celsius,http://qudt.org/vocab/unit#MoleDegreeCelsius
moleKelvin,Temperature count,mol-K,Mole Kelvin,http://qudt.org/vocab/unit#MoleKelvin
kelvinPerTesla,Temperature per magnetic flux density,K T^-1,Kelvin per Tesla,http://qudt.org/vocab/unit#KelvinPerTesla
degreeCelsiusPerHour,Temperature per time,degC / hr,Degree Celsius per Hour,http://qudt.org/vocab/unit#DegreeCelsiusPerHour
degreeCelsiusPerMinute,Temperature per time,degC / m,Degree Celsius per Minute,http://qudt.org/vocab/unit#DegreeCelsiusPerMinute
degreeCelsiusPerSecond,Temperature per time,degC / s,Degree Celsius per Second,http://qudt.org/vocab/unit#DegreeCelsiusPerSecond
degreeFahrenheitPerHour,Temperature per time,degF / h,Degree Fahrenheit per Hour,http://qudt.org/vocab/unit#DegreeFahrenheitPerHour
degreeFahrenheitPerMinute,Temperature per time,degF / m,Degree Fahrenheit per Minute,http://qudt.org/vocab/unit#DegreeFahrenheitPerMinute
degreeFahrenheitPerSecond,Temperature per time,degF / s,Degree Fahrenheit per Second,http://qudt.org/vocab/unit#DegreeFahrenheitPerSecond
degreeRankinePerHour,Temperature per time,degR / h,Degree Rankine per Hour,http://qudt.org/vocab/unit#DegreeRankinePerHour
degreeRankinePerMinute,Temperature per time,degR / m,Degree Rankine per Minute,http://qudt.org/vocab/unit#DegreeRankinePerMinute
degreeRankinePerSecond,Temperature per time,degR / s,Degree Rankine per Second,http://qudt.org/vocab/unit#DegreeRankinePerSecond
kelvinPerHour,Temperature per time,K / h,Kelvin per Hour,http://qudt.org/vocab/unit#KelvinPerHour
kelvinPerMinute,Temperature per time,K / m,Kelvin per Minute,http://qudt.org/vocab/unit#KelvinPerMinute
kelvinPerSecond,Temperature per time,K / s,Kelvin per Second,http://qudt.org/vocab/unit#KelvinPerSecond
btuFootPerSquareFootHourDegreeFahrenheit,Thermal conductivity,Btu-ft/(hr-ft^2-degF),Btu Foot per Square Foot Hour Degree Fahrenheit,http://qudt.org/vocab/unit#BtuFootPerSquareFootHourDegreeFahrenheit
btuInchPerSquareFootHourDegreeFahrenheit,Thermal conductivity,Btu-in/(hr-ft^2-degF),Btu Inch per Square Foot Hour Degree Fahrenheit,http://qudt.org/vocab/unit#BtuInchPerSquareFootHourDegreeFahrenheit
btuInchPerSquareFootSecondDegreeFahrenheit,Thermal conductivity,Btu-in/(ft^2-s-degF),Btu Inch per Square Foot Second Degree Fahrenheit,http://qudt.org/vocab/unit#BtuInchPerSquareFootSecondDegreeFahrenheit
caloriePerCentimeterSecondDegreeCelsius,Thermal conductivity,cal/(cm-s-degC),Calorie per Centimeter Second Degree Celsius,http://qudt.org/vocab/unit#KilocaloriePerCentimeterSecondDegreeCelsius
wattPerMeterKelvin,Thermal conductivity,W/(m*K),Watt per Meter Kelvin,http://qudt.org/vocab/unit#WattPerMeterKelvin
clo,Thermal insulance,clo,Clo,http://qudt.org/vocab/unit#Clo
squareFootHourDegreeFahrenheitPerBtu,Thermal insulance,(degF-hr-ft^2)/Btu,Square Foot Hour Degree Fahrenheit per Btu,http://qudt.org/vocab/unit#SquareFootHourDegreeFahrenheitPerBtu
squareMeterKelvinPerWatt,Thermal insulance,(K^2)m/W,Square Meter Kelvin per Watt,http://qudt.org/vocab/unit#SquareMeterKelvinPerWatt
degreeFahrenheitHourPerBtu,Thermal resistance,degF-hr/Btu,Degree Fahrenheit Hour per Btu,http://qudt.org/vocab/unit#DegreeFahrenheitHourPerBtu
kelvinPerWatt,Thermal resistance,K/W,Kelvin per Watt,http://qudt.org/vocab/unit#KelvinPerWatt
meterKelvinPerWatt,Thermal resistivity,K-m/W,Meter Kelvin per Watt,http://qudt.org/vocab/unit#MeterKelvinPerWatt
newtonPerKilogram,Thrust to mass ratio,N/kg,Newton per Kilogram,http://qudt.org/vocab/unit#NewtonPerKilogram
poundForcePerPound,Thrust to mass ratio,lbf/lb,Pound Force per Pound,http://qudt.org/vocab/unit#PoundForcePerPound
commonYear,Time,yr,Common Year,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
day,Time,d,Day,http://qudt.org/vocab/unit#Day; http://qwwebservices.usgs.gov/service-domains.html
eon,Time,,Eon,https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
fortnight,Time,,Fortnight,https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
gregorianMonth,Time,mo_g,Gregorian Month,http://unitsofmeasure.org/ucum.html#para-31
gregorianYear,Time,a_g,Gregorian Year,http://unitsofmeasure.org/ucum.html#para-31; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
hour,Time,hr,Hour,http://qudt.org/vocab/unit#Hour; http://unitsofmeasure.org/ucum.html#para-31
jiffy,Time,,Jiffy,http://www.unidata.ucar.edu/software/udunits/
julianMonth,Time,mo_j,Julian Month,http://unitsofmeasure.org/ucum.html#para-31
julianYear,Time,a_j,Julian Year,http://unitsofmeasure.org/ucum.html#para-31; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
leapYear,Time,leap yr,Leap Year,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
lunarMonth,Time,,Lunar Month,https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
microsecond,Time,microsec,Microsecond,http://qudt.org/vocab/unit#MicroSecond
millisecond,Time,ms,Millisecond,http://qudt.org/vocab/unit#MilliSecond
minute,Time,min,Minute,http://qudt.org/vocab/unit#MinuteTime; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://www.unidata.ucar.edu/software/udunits/; http://unitsofmeasure.org/ucum.html#para-31; http://qwwebservices.usgs.gov/service-domains.html
month,Time,mo,Month,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://www.unidata.ucar.edu/software/udunits/; http://unitsofmeasure.org/ucum.html#para-31
planckTime,Time,,Planck Time,http://qudt.org/vocab/unit#PlanckTime
second,Time,s,Second,http://qudt.org/vocab/unit#SecondTime; http://unitsofmeasure.org/ucum.html#para-28; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-base.xml; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
shake,Time,Sh,Shake,http://qudt.org/vocab/unit#Shake; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
siderealDay,Time,d,Sidereal Day,http://qudt.org/vocab/unit#DaySidereal; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
siderealHour,Time,hr,Sidereal Hour,http://qudt.org/vocab/unit#HourSidereal; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
siderealMinute,Time,min,Sidereal Minute,http://qudt.org/vocab/unit#MinuteSidereal; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
siderealMonth,Time,,Sidereal Month,https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
